album.msbt
armor.msbt
Fighter00	見習鎧甲
IdolF11	歌德龐克搭配
IdolF12	仙子搭配
IdolF13	浴衣搭配
IdolF14	嘉頓格搭配
IdolF15	曙光搭配
Vampire00	見習套裝
Vampire01	玫瑰套裝
Vampire02	白色套裝
Vampire03	皮套裝
Vampire04	黑夜套裝
Vampire05	花邊套裝
Vampire06	天鵝絨套裝
Vampire07	銀套裝
Vampire08	金套裝
Vampire09	魔界套裝
Vampire10	白金套裝
Vampire11	英雄套裝
Vampire12	傳說套裝
Vampire13	超級套裝
Vampire14	肌肉套裝
Vampire15	愛心套裝
Vampire16	可愛套裝
Vampire17	圓點套裝
Vampire18	破舊套裝
Vampire19	毛線套裝
Vampire20	甜點套裝
Vampire21	派對套裝
Vampire22	明治套裝
Vampire23	矮妖精套裝
Vampire24	水族箱套裝
Vampire25	魔術師套裝
Vampire26	鍍錫套裝
Vampire27	格子套裝
Vampire28	時髦套裝
Vampire29	孩童套裝
Cook00	見習圍裙
Cook01	中式圍裙
Cook02	花邊圍裙
Cook03	厚圍裙
Cook04	三星圍裙
Cook05	黑暗圍裙
Cook06	夢遊仙境圍裙
Cook07	萬聖節圍裙
Cook08	大火圍裙
Cook09	水手圍裙
Cook10	巧克力圍裙
Cook11	英雄圍裙
Cook12	傳說圍裙
Cook13	超級圍裙
Cook14	肌肉圍裙
Cook15	愛心圍裙
Cook16	葡萄圍裙
Cook17	圓點圍裙
Cook18	破舊圍裙
Cook19	毛線圍裙
Cook20	機械圍裙
Cook21	奇幻圍裙
Cook22	主廚圍裙
Cook23	甜點圍裙
Cook24	紙圍裙
Cook25	達人圍裙
Cook26	格子圍裙
Cook27	銅像圍裙
Cook28	木圍裙
Cook29	壽司師傅圍裙
Tank00	見習裝甲
Tank01	迷彩裝甲
Tank02	木裝甲
Tank03	章魚裝甲
Tank04	古老裝甲
Tank05	玩具裝甲
Tank06	紙箱裝甲
Tank07	冰裝甲
Tank08	拼布裝甲
Tank09	霓虹裝甲
Tank10	磚塊裝甲
Tank11	英雄裝甲
Tank12	傳說裝甲
Tank13	超級裝甲
Tank14	肌肉裝甲
Tank15	愛心裝甲
Tank16	西瓜裝甲
Tank17	圓點裝甲
Tank18	破舊裝甲
Tank19	毛線裝甲
Tank20	亮漆裝甲
Tank21	奇幻裝甲
Tank22	迷彩裝甲II
Tank23	閃亮亮裝甲
Tank24	撞球裝甲
Tank25	老虎裝甲
Tank26	塗鴉裝甲
Tank27	鈦裝甲
Tank28	蒸氣龐克裝甲
Tank29	神殿裝甲
Devil00	見習翅膀
Devil01	山羊翅膀
Devil02	蝙蝠翅膀
Devil03	制服翅膀
Devil04	木乃伊翅膀
Devil05	銀翅膀
Devil06	搖滾翅膀
Devil07	蒸氣龐克翅膀
Devil08	怪鳥翅膀
Devil09	龍翅膀
Devil10	小丑翅膀
Devil11	英雄翅膀
Devil12	傳說翅膀
Devil13	超級翅膀
Devil14	肌肉翅膀
Devil15	愛心翅膀
Devil16	石像翅膀
Devil17	圓點翅膀
Devil18	破舊翅膀
Devil19	毛線翅膀
Devil20	天使翅膀
Devil21	亮皮翅膀
Devil22	魅惑翅膀
Devil23	雷神翅膀
Devil24	霓虹翅膀
Devil25	埃及翅膀
Devil26	仙子翅膀
Devil27	妖怪翅膀
Devil28	機械翅膀
Devil29	烏賊翅膀
Royalty00	見習洋裝
Royalty01	花洋裝
Royalty02	庶民洋裝
Royalty03	刺繡洋裝
Royalty04	結晶洋裝
Royalty05	中式洋裝
Royalty06	絲洋裝
Royalty07	神話洋裝
Royalty08	夜空洋裝
Royalty09	魔女洋裝
Royalty10	女武神洋裝
Royalty11	英雄洋裝
Royalty12	傳說洋裝
Royalty13	超級洋裝
Royalty14	肌肉洋裝
Royalty15	愛心洋裝
Royalty16	女王蜂洋裝
Royalty17	圓點洋裝
Royalty18	破舊洋裝
Royalty19	毛線洋裝
Royalty20	哥德洋裝
Royalty21	婚禮洋裝
Royalty22	龐克洋裝
Royalty23	護士洋裝
Royalty24	近未來洋裝
Royalty25	水手洋裝
Royalty26	彩色洋裝
Royalty27	甜點洋裝
Royalty28	迪斯可洋裝
Royalty29	十二單和服
Flower00	見習花
Flower01	櫻花
Flower02	蒲公英花
Flower03	紫花地丁花
Flower04	向日葵花
Flower05	玫瑰花
Flower06	食蟲植物
Flower07	蓮花
Flower08	四葉幸運草
Flower09	仙人掌花
Flower10	捧花
Flower11	英雄花
Flower12	傳說花
Flower13	超級花
Flower14	肌肉花
Flower15	愛心花
Flower16	大王花
Flower17	圓點花
Flower18	破舊花
Flower19	毛線花
Flower20	孔雀花
Flower21	乾燥花
Flower22	彩色玻璃花
Flower23	結晶花
Flower24	海葵花
Flower25	塗鴉花
Flower26	曼陀羅花
Flower27	女神花
Flower28	鬼蘑菇花
Flower29	機械花
Scientist00	見習護目鏡
Scientist01	實驗護目鏡
Scientist02	鏡面護目鏡
Scientist03	高科技護目鏡
Scientist04	眼球護目鏡
Scientist05	手錶護目鏡
Scientist06	奇幻護目鏡
Scientist07	蒸氣龐克護目鏡
Scientist08	玫瑰護目鏡
Scientist09	科技護目鏡
Scientist10	海盜護目鏡
Scientist11	英雄護目鏡
Scientist12	傳說護目鏡
Scientist13	超級護目鏡
Scientist14	肌肉護目鏡
Scientist15	愛心護目鏡
Scientist16	爆炸護目鏡
Scientist17	圓點護目鏡
Scientist18	破舊護目鏡
Scientist19	毛線護目鏡
Scientist20	金屬護目鏡
Scientist21	度假護目鏡
Scientist22	化裝舞會護目鏡
Scientist23	星星護目鏡
Scientist24	異色護目鏡
Scientist25	復古護目鏡
Scientist26	史萊姆護目鏡
Scientist27	塑膠護目鏡
Scientist28	華麗護目鏡
Scientist29	瓶底護目鏡
Cat00	見習貓
Cat01	美國短毛貓
Cat02	孟加拉貓
Cat03	三色貓
Cat04	暹羅貓
Cat05	斯芬克斯貓
Cat06	長毛貓
Cat07	花斑貓
Cat08	緊身貓
Cat09	王室貓
Cat10	長靴貓
Cat11	英雄貓
Cat12	傳說貓
Cat13	超級貓
Cat14	肌肉貓
Cat15	愛心貓
Cat16	休閒貓
Cat17	圓點貓
Cat18	破舊貓
Cat19	毛線貓
Cat20	機器人貓
Cat21	奇幻貓
Cat22	紳士貓
Cat23	站長貓
Cat24	和服外套貓
Cat25	甚兵衛貓
Cat26	女僕貓
Cat27	狼貓
Cat28	恐龍貓
Cat29	亮皮貓
Elf00	見習斗篷
Elf01	皮斗篷
Elf02	鐵斗篷
Elf03	銀斗篷
Elf04	疾風斗篷
Elf05	智慧斗篷
Elf06	精靈斗篷
Elf07	黑暗斗篷
Elf08	神聖斗篷
Elf09	龍斗篷
Elf10	人造毛皮斗篷
Elf11	英雄斗篷
Elf12	傳說斗篷
Elf13	超級斗篷
Elf14	肌肉斗篷
Elf15	愛心斗篷
Elf16	結晶斗篷
Elf17	圓點斗篷
Elf18	破舊斗篷
Elf19	毛線斗篷
Elf20	仙子斗篷
Elf21	蜜蜂斗篷
Elf22	花冠斗篷
Elf23	金屬斗篷
Elf24	彩色斗篷
Elf25	弓道斗篷
Elf26	芭蕾舞斗篷
Elf27	機器人斗篷
Elf28	披風斗篷
Elf29	樵夫斗篷
Amiibo00	瑪利歐服
Amiibo01	路易吉服
Amiibo02	羅潔塔服
Amiibo03	耀西服
Amiibo04	碧姬公主服
Amiibo05	黛西公主服
Amiibo06	K.K.服
Amiibo07	庫巴服
Amiibo08	森喜剛服
Amiibo09	西施惠服
Amiibo10	林克服
Amiibo11	薩爾達服
Amiibo12	加儂多夫服
Amiibo13	奇諾比奧服
Amiibo14	卡比服
Amiibo15	奈斯服
Amiibo16	Inkling Boy服
Amiibo17	Inkling Girl服
Amiibo18	Callie服
Amiibo19	Marie服
Amiibo20	Squid服
Amiibo21	狸克服
Amiibo22	電源叔叔服
Amiibo23	希克服
Amiibo24	薩姆斯服
Amiibo25	零裝甲薩姆斯服
armor_Attr.msbt
Fighter00	N\nPP\nthe/some\nthe/some
Fighter01	N\nPP\nthe/some\nthe/some
Fighter02	N\nPP\nthe/some\nthe/some
Fighter03	N\nPP\nthe/some\nthe/some
Fighter04	N\nPP\nthe/some\nthe/some
Fighter05	N\nPP\nthe/some\nthe/some
Fighter06	N\nPP\nthe/some\nthe/some
Fighter07	N\nPP\nthe/some\nthe/some
Fighter08	N\nPP\nthe/some\nthe/some
Fighter09	N\nPP\nthe/some\nthe/some
Fighter10	N\nPP\nthe/some\nthe/some
Fighter11	N\nPP\nthe/some\nthe/some
Fighter12	N\nPP\nthe/some\nthe/some
Fighter13	N\nPP\nthe/some\nthe/some
Fighter14	N\nPP\nthe/some\nthe/some
Fighter15	N\nPP\nthe/some\nthe/some
Fighter16	N\nPP\nthe/some\nthe/some
Fighter17	N\nPP\nthe/some\nthe/some
Fighter18	N\nPP\nthe/some\nthe/some
Fighter19	N\nPP\nthe/some\nthe/some
Fighter20	N\nPP\nthe/some\nthe/some
Fighter21	N\nPP\nthe/some\nthe/some
Fighter22	N\nPP\nthe/some\nthe/some
Fighter23	N\nPP\nthe/some\nthe/some
Fighter24	N\nPP\nthe/some\nthe/some
Fighter25	N\nPP\nthe/some\nthe/some
Fighter26	N\nPP\nthe/some\nthe/some
Fighter27	N\nPP\nthe/some\nthe/some
Fighter28	N\nPP\nthe/some\nthe/some
Fighter29	N\nPP\nthe/some\nthe/some
Fighter30	N\nPP\nthe/some\nthe/some
Wizard00	N\nSP\nthe/an\nthe/some
Wizard01	N\nSP\nthe/a\nthe/some
Wizard02	N\nSP\nthe/a\nthe/some
Wizard03	N\nSP\nthe/a\nthe/some
Wizard04	N\nSP\nthe/a\nthe/some
Wizard05	N\nSP\nthe/a\nthe/some
Wizard06	N\nSP\nthe/a\nthe/some
Wizard07	N\nSP\nthe/a\nthe/some
Wizard08	N\nSP\nthe/a\nthe/some
Wizard09	N\nSP\nthe/a\nthe/some
Wizard10	N\nSP\nthe/a\nthe/some
Wizard11	N\nSP\nthe/a\nthe/some
Wizard12	N\nSP\nthe/a\nthe/some
Wizard13	N\nSP\nthe/a\nthe/some
Wizard14	N\nSP\nthe/a\nthe/some
Wizard15	N\nSP\nthe/a\nthe/some
Wizard16	N\nSP\nthe/a\nthe/some
Wizard17	N\nSP\nthe/a\nthe/some
Wizard18	N\nSP\nthe/a\nthe/some
Wizard19	N\nSP\nthe/a\nthe/some
Wizard20	N\nSP\nthe/a\nthe/some
Wizard21	N\nSP\nthe/a\nthe/some
Wizard22	N\nSP\nthe/a\nthe/some
Wizard23	N\nSP\nthe/a\nthe/some
Wizard24	N\nSP\nthe/a\nthe/some
Wizard25	N\nSP\nthe/a\nthe/some
Wizard26	N\nSP\nthe/a\nthe/some
Wizard27	N\nSP\nthe/a\nthe/some
Wizard28	N\nSP\nthe/a\nthe/some
Wizard29	N\nSP\nthe/a\nthe/some
Priest00	N\nPP\nthe/some\nthe/some
Priest01	N\nPP\nthe/some\nthe/some
Priest02	N\nPP\nthe/some\nthe/some
Priest03	N\nPP\nthe/some\nthe/some
Priest04	N\nPP\nthe/some\nthe/some
Priest05	N\nPP\nthe/some\nthe/some
Priest06	N\nPP\nthe/some\nthe/some
Priest07	N\nPP\nthe/some\nthe/some
Priest08	N\nPP\nthe/some\nthe/some
Priest09	N\nPP\nthe/some\nthe/some
Priest10	N\nPP\nthe/some\nthe/some
Priest11	N\nPP\nthe/some\nthe/some
Priest12	N\nPP\nthe/some\nthe/some
Priest13	N\nPP\nthe/some\nthe/some
Priest14	N\nPP\nthe/some\nthe/some
Priest15	N\nPP\nthe/some\nthe/some
Priest16	N\nPP\nthe/some\nthe/some
Priest17	N\nPP\nthe/some\nthe/some
Priest18	N\nPP\nthe/some\nthe/some
Priest19	N\nPP\nthe/some\nthe/some
Priest20	N\nPP\nthe/some\nthe/some
Priest21	N\nPP\nthe/some\nthe/some
Priest22	N\nPP\nthe/some\nthe/some
Priest23	N\nPP\nthe/some\nthe/some
Priest24	N\nPP\nthe/some\nthe/some
Priest25	N\nPP\nthe/some\nthe/some
Priest26	N\nPP\nthe/some\nthe/some
Priest27	N\nPP\nthe/some\nthe/some
Priest28	N\nPP\nthe/some\nthe/some
Priest29	N\nPP\nthe/some\nthe/some
Thief00	N\nPP\nthe/some\nthe/some
Thief01	N\nPP\nthe/some\nthe/some
Thief02	N\nPP\nthe/some\nthe/some
Thief03	N\nPP\nthe/some\nthe/some
Thief04	N\nPP\nthe/some\nthe/some
Thief05	N\nPP\nthe/some\nthe/some
Thief06	N\nPP\nthe/some\nthe/some
Thief07	N\nPP\nthe/some\nthe/some
Thief08	N\nPP\nthe/some\nthe/some
Thief09	N\nPP\nthe/some\nthe/some
Thief10	N\nPP\nthe/some\nthe/some
Thief11	N\nPP\nthe/some\nthe/some
Thief12	N\nPP\nthe/some\nthe/some
Thief13	N\nPP\nthe/some\nthe/some
Thief14	N\nPP\nthe/some\nthe/some
Thief15	N\nPP\nthe/some\nthe/some
Thief16	N\nPP\nthe/some\nthe/some
Thief17	N\nPP\nthe/some\nthe/some
Thief18	N\nPP\nthe/some\nthe/some
Thief19	N\nPP\nthe/some\nthe/some
Thief20	N\nPP\nthe/some\nthe/some
Thief21	N\nPP\nthe/some\nthe/some
Thief22	N\nPP\nthe/some\nthe/some
Thief23	N\nPP\nthe/some\nthe/some
Thief24	N\nPP\nthe/some\nthe/some
Thief25	N\nPP\nthe/some\nthe/some
Thief26	N\nPP\nthe/some\nthe/some
Thief27	N\nPP\nthe/some\nthe/some
Thief28	N\nPP\nthe/some\nthe/some
Thief29	N\nPP\nthe/some\nthe/some
IdolM00	N\nPP\nthe/some\nthe/some
IdolM01	N\nPP\nthe/some\nthe/some
IdolM02	N\nPP\nthe/some\nthe/some
IdolM03	N\nPP\nthe/some\nthe/some
IdolM04	N\nPP\nthe/some\nthe/some
IdolM05	N\nPP\nthe/some\nthe/some
IdolM06	N\nPP\nthe/some\nthe/some
IdolM07	N\nPP\nthe/some\nthe/some
IdolM08	N\nPP\nthe/some\nthe/some
IdolM09	N\nPP\nthe/some\nthe/some
IdolM10	N\nPP\nthe/some\nthe/some
IdolM11	N\nPP\nthe/some\nthe/some
IdolM12	N\nPP\nthe/some\nthe/some
IdolM13	N\nPP\nthe/some\nthe/some
IdolM14	N\nPP\nthe/some\nthe/some
IdolM15	N\nPP\nthe/some\nthe/some
IdolF00	N\nSP\nthe/a\nthe/some
IdolF01	N\nSP\nthe/a\nthe/some
IdolF02	N\nSP\nthe/a\nthe/some
IdolF03	N\nSP\nthe/a\nthe/some
IdolF04	N\nSP\nthe/a\nthe/some
IdolF05	N\nSP\nthe/a\nthe/some
IdolF06	N\nSP\nthe/a\nthe/some
IdolF07	N\nSP\nthe/a\nthe/some
IdolF08	N\nSP\nthe/a\nthe/some
IdolF09	N\nSP\nthe/a\nthe/some
IdolF10	N\nSP\nthe/a\nthe/some
IdolF11	N\nSP\nthe/a\nthe/some
IdolF12	N\nSP\nthe/a\nthe/some
IdolF13	N\nSP\nthe/a\nthe/some
IdolF14	N\nSP\nthe/a\nthe/some
IdolF15	N\nSP\nthe/an\nthe/some
Vampire00	N\nSP\nthe/a\nthe/some
Vampire01	N\nSP\nthe/a\nthe/some
Vampire02	N\nSP\nthe/a\nthe/some
Vampire03	N\nSP\nthe/a\nthe/some
Vampire04	N\nSP\nthe/a\nthe/some
Vampire05	N\nSP\nthe/a\nthe/some
Vampire06	N\nSP\nthe/a\nthe/some
Vampire07	N\nSP\nthe/a\nthe/some
Vampire08	N\nSP\nthe/a\nthe/some
Vampire09	N\nSP\nthe/a\nthe/some
Vampire10	N\nSP\nthe/a\nthe/some
Vampire11	N\nSP\nthe/a\nthe/some
Vampire12	N\nSP\nthe/a\nthe/some
Vampire13	N\nSP\nthe/a\nthe/some
Vampire14	N\nSP\nthe/a\nthe/some
Vampire15	N\nSP\nthe/a\nthe/some
Vampire16	N\nSP\nthe/a\nthe/some
Vampire17	N\nSP\nthe/a\nthe/some
Vampire18	N\nSP\nthe/a\nthe/some
Vampire19	N\nSP\nthe/a\nthe/some
Vampire20	N\nSP\nthe/a\nthe/some
Vampire21	N\nSP\nthe/a\nthe/some
Vampire22	N\nSP\nthe/a\nthe/some
Vampire23	N\nSP\nthe/a\nthe/some
Vampire24	N\nSP\nthe/an\nthe/some
Vampire25	N\nSP\nthe/a\nthe/some
Vampire26	N\nSP\nthe/a\nthe/some
Vampire27	N\nSP\nthe/a\nthe/some
Vampire28	N\nSP\nthe/a\nthe/some
Vampire29	N\nSP\nthe/a\nthe/some
Cook00	N\nSP\nthe/a\nthe/some
Cook01	N\nSP\nthe/a\nthe/some
Cook02	N\nSP\nthe/a\nthe/some
Cook03	N\nSP\nthe/a\nthe/some
Cook04	N\nSP\nthe/a\nthe/some
Cook05	N\nSP\nthe/a\nthe/some
Cook06	N\nSP\nthe/a\nthe/some
Cook07	N\nSP\nthe/a\nthe/some
Cook08	N\nSP\nthe/a\nthe/some
Cook09	N\nSP\nthe/a\nthe/some
Cook10	N\nSP\nthe/a\nthe/some
Cook11	N\nSP\nthe/a\nthe/some
Cook12	N\nSP\nthe/a\nthe/some
Cook13	N\nSP\nthe/a\nthe/some
Cook14	N\nSP\nthe/a\nthe/some
Cook15	N\nSP\nthe/a\nthe/some
Cook16	N\nSP\nthe/a\nthe/some
Cook17	N\nSP\nthe/a\nthe/some
Cook18	N\nSP\nthe/a\nthe/some
Cook19	N\nSP\nthe/a\nthe/some
Cook20	N\nSP\nthe/a\nthe/some
Cook21	N\nSP\nthe/an\nthe/some
Cook22	N\nSP\nthe/a\nthe/some
Cook23	N\nSP\nthe/a\nthe/some
Cook24	N\nSP\nthe/a\nthe/some
Cook25	N\nSP\nthe/a\nthe/some
Cook26	N\nSP\nthe/a\nthe/some
Cook27	N\nSP\nthe/a\nthe/some
Cook28	N\nSP\nthe/a\nthe/some
Cook29	N\nSP\nthe/a\nthe/some
Tank00	N\nSP\nthe/a\nthe/some
Tank01	N\nSP\nthe/a\nthe/some
Tank02	N\nSP\nthe/a\nthe/some
Tank03	N\nSP\nthe/an\nthe/some
Tank04	N\nSP\nthe/a\nthe/some
Tank05	N\nSP\nthe/a\nthe/some
Tank06	N\nSP\nthe/a\nthe/some
Tank07	N\nSP\nthe/an\nthe/some
Tank08	N\nSP\nthe/a\nthe/some
Tank09	N\nSP\nthe/a\nthe/some
Tank10	N\nSP\nthe/a\nthe/some
Tank11	N\nSP\nthe/a\nthe/some
Tank12	N\nSP\nthe/a\nthe/some
Tank13	N\nSP\nthe/a\nthe/some
Tank14	N\nSP\nthe/a\nthe/some
Tank15	N\nSP\nthe/a\nthe/some
Tank16	N\nSP\nthe/a\nthe/some
Tank17	N\nSP\nthe/a\nthe/some
Tank18	N\nSP\nthe/a\nthe/some
Tank19	N\nSP\nthe/a\nthe/some
Tank20	N\nSP\nthe/a\nthe/some
Tank21	N\nSP\nthe/a\nthe/some
Tank22	N\nSP\nthe/a\nthe/some
Tank23	N\nSP\nthe/a\nthe/some
Tank24	N\nSP\nthe/a\nthe/some
Tank25	N\nSP\nthe/a\nthe/some
Tank26	N\nSP\nthe/a\nthe/some
Tank27	N\nSP\nthe/a\nthe/some
Tank28	N\nSP\nthe/a\nthe/some
Tank29	N\nSP\nthe/an\nthe/some
Devil00	N\nSP\nthe/a\nthe/some
Devil01	N\nSP\nthe/a\nthe/some
Devil02	N\nSP\nthe/a\nthe/some
Devil03	N\nSP\nthe/a\nthe/some
Devil04	N\nSP\nthe/a\nthe/some
Devil05	N\nSP\nthe/a\nthe/some
Devil06	N\nSP\nthe/a\nthe/some
Devil07	N\nSP\nthe/a\nthe/some
Devil08	N\nSP\nthe/an\nthe/some
Devil09	N\nSP\nthe/a\nthe/some
Devil10	N\nSP\nthe/a\nthe/some
Devil11	N\nSP\nthe/a\nthe/some
Devil12	N\nSP\nthe/a\nthe/some
Devil13	N\nSP\nthe/a\nthe/some
Devil14	N\nSP\nthe/a\nthe/some
Devil15	N\nSP\nthe/a\nthe/some
Devil16	N\nSP\nthe/a\nthe/some
Devil17	N\nSP\nthe/a\nthe/some
Devil18	N\nSP\nthe/a\nthe/some
Devil19	N\nSP\nthe/a\nthe/some
Devil20	N\nSP\nthe/an\nthe/some
Devil21	N\nSP\nthe/a\nthe/some
Devil22	N\nSP\nthe/a\nthe/some
Devil23	N\nSP\nthe/a\nthe/some
Devil24	N\nSP\nthe/a\nthe/some
Devil25	N\nSP\nthe/an\nthe/some
Devil26	N\nSP\nthe/a\nthe/some
Devil27	N\nSP\nthe/a\nthe/some
Devil28	N\nSP\nthe/a\nthe/some
Devil29	N\nSP\nthe/a\nthe/some
Royalty00	N\nSP\nthe/a\nthe/some
Royalty01	N\nSP\nthe/a\nthe/some
Royalty02	N\nSP\nthe/a\nthe/some
Royalty03	N\nSP\nthe/an\nthe/some
Royalty04	N\nSP\nthe/a\nthe/some
Royalty05	N\nSP\nthe/a\nthe/some
Royalty06	N\nSP\nthe/a\nthe/some
Royalty07	N\nSP\nthe/an\nthe/some
Royalty08	N\nSP\nthe/a\nthe/some
Royalty09	N\nSP\nthe/a\nthe/some
Royalty10	N\nSP\nthe/a\nthe/some
Royalty11	N\nSP\nthe/a\nthe/some
Royalty12	N\nSP\nthe/a\nthe/some
Royalty13	N\nSP\nthe/a\nthe/some
Royalty14	N\nSP\nthe/a\nthe/some
Royalty15	N\nSP\nthe/a\nthe/some
Royalty16	N\nSP\nthe/a\nthe/some
Royalty17	N\nSP\nthe/a\nthe/some
Royalty18	N\nSP\nthe/a\nthe/some
Royalty19	N\nSP\nthe/a\nthe/some
Royalty20	N\nSP\nthe/a\nthe/some
Royalty21	N\nSP\nthe/a\nthe/some
Royalty22	N\nSP\nthe/a\nthe/some
Royalty23	N\nSP\nthe/a\nthe/some
Royalty24	N\nSP\nthe/a\nthe/some
Royalty25	N\nSP\nthe/a\nthe/some
Royalty26	N\nSP\nthe/a\nthe/some
Royalty27	N\nSP\nthe/a\nthe/some
Royalty28	N\nSP\nthe/a\nthe/some
Royalty29	N\nSP\nthe/a\nthe/some
Flower00	N\nSP\nthe/a\nthe/some
Flower01	N\nSP\nthe/a\nthe/some
Flower02	N\nSP\nthe/a\nthe/some
Flower03	N\nSP\nthe/a\nthe/some
Flower04	N\nSP\nthe/a\nthe/some
Flower05	N\nSP\nthe/a\nthe/some
Flower06	N\nSP\nthe/a\nthe/some
Flower07	N\nSP\nthe/a\nthe/some
Flower08	N\nSP\nthe/a\nthe/some
Flower09	N\nSP\nthe/a\nthe/some
Flower10	N\nSP\nthe/a\nthe/some
Flower11	N\nSP\nthe/a\nthe/some
Flower12	N\nSP\nthe/a\nthe/some
Flower13	N\nSP\nthe/a\nthe/some
Flower14	N\nSP\nthe/a\nthe/some
Flower15	N\nSP\nthe/a\nthe/some
Flower16	N\nSP\nthe/a\nthe/some
Flower17	N\nSP\nthe/a\nthe/some
Flower18	N\nSP\nthe/a\nthe/some
Flower19	N\nSP\nthe/a\nthe/some
Flower20	N\nSP\nthe/a\nthe/some
Flower21	N\nSP\nthe/a\nthe/some
Flower22	N\nSP\nthe/a\nthe/some
Flower23	N\nSP\nthe/a\nthe/some
Flower24	N\nSP\nthe/a\nthe/some
Flower25	N\nSP\nthe/a\nthe/some
Flower26	N\nSP\nthe/a\nthe/some
Flower27	N\nSP\nthe/a\nthe/some
Flower28	N\nSP\nthe/a\nthe/some
Flower29	N\nSP\nthe/a\nthe/some
Scientist00	N\nPP\nthe/some\nthe/some
Scientist01	N\nPP\nthe/some\nthe/some
Scientist02	N\nPP\nthe/some\nthe/some
Scientist03	N\nPP\nthe/some\nthe/some
Scientist04	N\nPP\nthe/some\nthe/some
Scientist05	N\nPP\nthe/some\nthe/some
Scientist06	N\nPP\nthe/some\nthe/some
Scientist07	N\nPP\nthe/some\nthe/some
